Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.09513001581648067
Burundi;AF-BDI;AF-Central;BDI;AF;0.23322605572110153
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.07443935084022436
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.08472354434802369
Botswana;AF-BWA;AF-South;BWA;AF;0.04220129388887234
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.23322605572110153
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.06606375230229594
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.08387272808066029
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.10404256106680908
Congo;AF-COG;AF-Central;COG;AF;0.11941368903382224
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.23583897431799977
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.0949508663575558
Egypt;AF-EGY;AF-EGY;EGY;AF;0.08549701368199042
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.23322605572110153
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.11893333247596466
Gabon;AF-GAB;AF-Central;GAB;AF;0.10404256106680908
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.09513001581648067
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.12013422387060861
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.08480089128142036
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.09513001581648067
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.2306131371242033
Kenya;AF-KEN;AF-Central;KEN;AF;0.08433680968104033
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.12013422387060861
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.07574173358684252
Lesotho;AF-LSO;AF-South;LSO;AF;0.23583897431799977
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.05440045188739614
Madagascar;AF-MDG;AF-Central;MDG;AF;0.09602576311110506
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.10404256106680908
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.11845297591810709
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.23583897431799977
Malawi;AF-MWI;AF-Central;MWI;AF;0.11893333247596466
Namibia;AF-NAM;AF-South;NAM;AF;0.06530630883454674
Niger;AF-NER;AF-WestSahara;NER;AF;0.09423426852185629
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.08433680968104033
Rwanda;AF-RWA;AF-Central;RWA;AF;0.08464619741462702
