Country;name;Regions;alpha-3;continent;WACC_agg
Luxembourg;EU-LUX;EU-Benelux;LUX;EU;0.05153869510926298
Latvia;EU-LVA;EU-East;LVA;EU;0.06640192849078683
Moldova, Republic of;EU-MDA;EU-East;MDA;EU;0.13247731318642483
North Macedonia;EU-MKD;EU-SouthEast;MKD;EU;0.09717970135965905
Netherlands, Kingdom of the;EU-NLD;EU-Benelux;NLD;EU;0.05146731400530462
Norway;EU-NOR;EU-North;NOR;EU;0.051782718883260165
Poland;EU-POL;EU-East;POL;EU;0.06225848878503612
Portugal;EU-PRT;EU-Iberia;PRT;EU;0.06504823111370246
Romania;EU-ROU;EU-East;ROU;EU;0.07903282405828652
Serbia;EU-SRB;EU-East;SRB;EU;0.08907403926990837
Slovakia;EU-SVK;EU-Central;SVK;EU;0.06628421567538818
Slovenia;EU-SVN;EU-Central;SVN;EU;0.06616650285998954
Sweden;EU-SWE;EU-North;SWE;EU;0.05189892068040169
Ukraine;EU-UKR;EU-East;UKR;EU;0.19748340378079537
Canada;NA-CAN;NA-CanadaUSA;CAN;NA;0.05143909356885596
Costa Rica;NA-CRI;NA-CentralAmerica;CRI;NA;0.09343698378264115
Cuba;NA-CUB;NA-CentralAmerica;CUB;NA;0.19016563630963332
Dominican Republic;NA-DOM;NA-CentralAmerica;DOM;NA;0.09399839141919382
Guatemala;NA-GTM;NA-CentralAmerica;GTM;NA;0.08135298285842267
Honduras;NA-HND;NA-CentralAmerica;HND;NA;0.10408570008327711
Haiti;NA-HTI;NA-CentralAmerica;HTI;NA;0.1923179208599751
Jamaica;NA-JAM;NA-CentralAmerica;JAM;NA;0.10515239849434098
Mexico;NA-MEX;NA-CentralAmerica;MEX;NA;0.07352250135028299
Nicaragua;NA-NIC;NA-CentralAmerica;NIC;NA;0.11584077651904406
Panama;NA-PAN;NA-CentralAmerica;PAN;NA;0.07771307223175279
El Salvador;NA-SLV;NA-CentralAmerica;SLV;NA;0.12759585295481102
Trinidad and Tobago;NA-TTO;SA-NorthEast;TTO;NA;0.08652223293807233
United States of America;NA-USA;NA-CanadaUSA;USA;NA;0.05148142422352894
Australia;OC-AUS;OC-AustraliaNewzealand;AUS;OC;0.051118708613880064
New Zealand;OC-NZL;OC-AustraliaNewzealand;NZL;OC;0.05128471118122509
Argentina;SA-ARG;SA-ArgentinaBolivia;ARG;SA;0.19016563630963332
Bolivia, Plurinational State of;SA-BOL;SA-ArgentinaBolivia;BOL;SA;0.17067078977439853
Brazil;SA-BRA;SA-NorthEast;BRA;SA;0.0799535986943996
Chile;SA-CHL;SA-ChilePeru;CHL;SA;0.06139846045414378
Colombia;SA-COL;SA-NorthWest;COL;SA;0.07283184453291883
Ecuador;SA-ECU;SA-NorthWest;ECU;SA;0.17067078977439853
Guyana;SA-GUY;SA-NorthEast;GUY;SA;0.07057324754097728
Peru;SA-PER;SA-ChilePeru;PER;SA;0.06999147257409422
Paraguay;SA-PRY;SA-NorthEast;PRY;SA;0.079912658609309
Suriname;SA-SUR;SA-NorthEast;SUR;SA;0.13755021832140946
Uruguay;SA-URY;SA-NorthEast;URY;SA;0.07057324754097728
Venezuela, Bolivarian Republic of;SA-VEN;SA-NorthWest;VEN;SA;0.25665042335927896
