Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.13539597480175034
Burundi;AF-BDI;AF-Central;BDI;AF;0.25600730931598076
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.10846902911414874
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.14750733127769564
Botswana;AF-BWA;AF-South;BWA;AF;0.06728823023275138
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.25600730931598076
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.09789730277822854
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.1457626326567648
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.13396586733804944
Congo;AF-COG;AF-Central;COG;AF;0.16664029801267657
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.2589306444049778
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.10936354357840425
Egypt;AF-EGY;AF-EGY;EGY;AF;0.1490934209330873
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.25600730931598076
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.16591190581858384
Gabon;AF-GAB;AF-Central;GAB;AF;0.1467142864499998
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.18063728760745687
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.1677328863038157
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.10913991496234038
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.12249157349810923
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.25308397422698364
Kenya;AF-KEN;AF-Central;KEN;AF;0.13396586733804944
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.20644609021473903
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.07674831818692468
Lesotho;AF-LSO;AF-South;LSO;AF;0.2589306444049778
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.08248848367208532
Madagascar;AF-MDG;AF-Central;MDG;AF;0.13682608226545126
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.16591190581858384
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.1651835136244911
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.2589306444049778
Malawi;AF-MWI;AF-Central;MWI;AF;0.2041571631544349
Namibia;AF-NAM;AF-South;NAM;AF;0.10802177188202099
Niger;AF-NER;AF-WestSahara;NER;AF;0.16591190581858384
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.1467142864499998
Rwanda;AF-RWA;AF-Central;RWA;AF;0.12172709833490315
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.25308397422698364
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.0969204612127349
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.18063728760745687
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.2055946093483059
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.13539597480175034
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.25308397422698364
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.13482393181626998
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.17137484727427943
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.12121744822609909
Uganda;AF-UGA;AF-Central;UGA;AF;0.12121744822609909
South Africa;AF-ZAF;AF-South;ZAF;AF;0.08995244354793414
