Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.10152741901796775
Burundi;AF-BDI;AF-Central;BDI;AF;0.21158418845833055
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.08218223708143053
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.08268406398981001
Botswana;AF-BWA;AF-South;BWA;AF;0.04054441732429125
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.21158418845833055
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.06567429617749625
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.08158004479137516
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.10022459967753897
Congo;AF-COG;AF-Central;COG;AF;0.1144699754251641
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.2147334926765461
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.11508152966351272
Egypt;AF-EGY;AF-EGY;EGY;AF;0.08368771780656897
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.21158418845833055
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.08218223708143053
Gabon;AF-GAB;AF-Central;GAB;AF;0.10022459967753897
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.09239815162803283
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.1429410956323086
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.09193658625856482
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.10152741901796775
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.20843488424011497
Kenya;AF-KEN;AF-Central;KEN;AF;0.08218223708143053
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.1429410956323086
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.1169161923785586
Lesotho;AF-LSO;AF-South;LSO;AF;0.2147334926765461
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.054664508715018253
Madagascar;AF-MDG;AF-Central;MDG;AF;0.09355206505170287
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.10022459967753897
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.11324686694846685
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.2147334926765461
Malawi;AF-MWI;AF-Central;MWI;AF;0.11385842118681547
Namibia;AF-NAM;AF-South;NAM;AF;0.06466906090503852
Niger;AF-NER;AF-WestSahara;NER;AF;0.09124423820436281
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.08218223708143053
Rwanda;AF-RWA;AF-Central;RWA;AF;0.08258369860813412
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.20843488424011497
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.06495627098288359
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.11538730678268704
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.14220516404206834
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.09239815162803283
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.20843488424011497
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.09193658625856482
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.0851931985317074
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.08218223708143053
Uganda;AF-UGA;AF-Central;UGA;AF;0.08218223708143053
South Africa;AF-ZAF;AF-South;ZAF;AF;0.05994526308571234
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.14096278490585618
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.14305188103299
