Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.09496029602819432
Burundi;AF-BDI;AF-Central;BDI;AF;0.15744236867142558
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.15744236867142558
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.14407394623668723
Botswana;AF-BWA;AF-South;BWA;AF;0.06462743200272968
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.15744236867142558
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.11630659128393137
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.1285843746348054
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.14337957418179373
Congo;AF-COG;AF-Central;COG;AF;0.10295800774931246
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.15899918179540543
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.15868781917060945
Egypt;AF-EGY;AF-EGY;EGY;AF;0.15977758835739536
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.15744236867142558
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.11525398520253005
Gabon;AF-GAB;AF-Central;GAB;AF;0.10259747016186138
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.13053745478775608
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.15899918179540543
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.15837645654581348
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.15899918179540543
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.15588555554744574
Kenya;AF-KEN;AF-Central;KEN;AF;0.11525398520253005
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.15899918179540543
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.16055599491938527
Lesotho;AF-LSO;AF-South;LSO;AF;0.15899918179540543
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.08669851539145698
Madagascar;AF-MDG;AF-Central;MDG;AF;0.16055599491938527
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.15744236867142558
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.11483294276996953
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.15899918179540543
Malawi;AF-MWI;AF-Central;MWI;AF;0.15744236867142558
Namibia;AF-NAM;AF-South;NAM;AF;0.08264313893687368
Niger;AF-NER;AF-WestSahara;NER;AF;0.15744236867142558
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.10259747016186138
Rwanda;AF-RWA;AF-Central;RWA;AF;0.12980504973039958
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.15588555554744574
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.11525398520253005
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.15899918179540543
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.15842004731328493
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.15899918179540543
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.15588555554744574
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.15837645654581348
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.10530150206774462
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.15744236867142558
