Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.11097141285960907
Burundi;AF-BDI;AF-Central;BDI;AF;0.18550000034909186
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.18550000034909186
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.1379049452560502
Botswana;AF-BWA;AF-South;BWA;AF;0.06066527657181826
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.18550000034909186
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.0984886059843433
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.12266002445687468
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.1371266463894013
Congo;AF-COG;AF-Central;COG;AF;0.13774928548272042
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.18776098240216366
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.12353371653772421
Egypt;AF-EGY;AF-EGY;EGY;AF;0.139461542989348
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.18550000034909186
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.10981888055005762
Gabon;AF-GAB;AF-Central;GAB;AF;0.10981888055005762
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.1386832441226991
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.1832391257516379
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.12329838306957441
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.11200950699096691
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.18323901829602007
Kenya;AF-KEN;AF-Central;KEN;AF;0.10981888055005762
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.15708474688962654
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.18519865069467464
Lesotho;AF-LSO;AF-South;LSO;AF;0.18776098240216366
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.0820620345792308
Madagascar;AF-MDG;AF-Central;MDG;AF;0.11303137298779291
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.12422837788977287
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.18382633185567718
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.18776098240216366
Malawi;AF-MWI;AF-Central;MWI;AF;0.15546951534236034
Namibia;AF-NAM;AF-South;NAM;AF;0.07817649097844187
Niger;AF-NER;AF-WestSahara;NER;AF;0.15546951534236034
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.10981888055005762
Rwanda;AF-RWA;AF-Central;RWA;AF;0.1240145894782993
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.17932007586556445
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.10981888055005762
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.15113367807609646
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.18251018247282824
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.18776098240216366
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.18323901829602007
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.12329838306957441
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.10042964769917025
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.12422837788977287
Uganda;AF-UGA;AF-Central;UGA;AF;0.12347276346972946
South Africa;AF-ZAF;AF-South;ZAF;AF;0.07476959332788599
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.1371266463894013
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.15717519985627348
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.18519865069467464
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.05664983501201726
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.09800334555563656
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.09450191994167996
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.08701227306392437
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.1832391257516379
China;AS-CHN;AS-CHN;CHN;AS;0.057045687158460895
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.0795532971916411
India;AS-IND;AS-IND;IND;AS;0.07845185222108171
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.10007578194982214
Iraq;AS-IRQ;AS-West;IRQ;AS;0.14179643958929466
Israel;AS-ISR;AS-West;ISR;AS;0.05857330155316038
Jordan;AS-JOR;AS-West;JOR;AS;0.11212394516916054
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.05805261755168421
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.07982865843428094
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.12889102355542795
Cambodia;AS-KHM;AS-SouthEast;KHM;AS;0.12618189351257872
Korea, Republic of;AS-KOR;AS-KoreaJapan;KOR;AS;0.05545131792405254
Kuwait;AS-KWT;AS-West;KWT;AS;0.056236553257546666
Lao People's Democratic Republic;AS-LAO;AS-SouthEast;LAO;AS;0.18519865069467464
Lebanon;AS-LBN;AS-West;LBN;AS;0.1269946325254335
Sri Lanka;AS-LKA;AS-SouthEast;LKA;AS;0.10981888055005762
Myanmar;AS-MMR;AS-SouthEast;MMR;AS;0.12447505041032343
Mongolia;AS-MNG;AS-MNG;MNG;AS;0.15241433168549146
Malaysia;AS-MYS;AS-SouthIslands;MYS;AS;0.06538161377508162
Nepal;AS-NPL;AS-SouthEast;NPL;AS;0.1832391257516379
Oman;AS-OMN;AS-Arabia;OMN;AS;0.07190968558858761
Pakistan;AS-PAK;AS-SouthStans;PAK;AS;0.13743796593606086
Philippines;AS-PHL;AS-SouthIslands;PHL;AS;0.07502092905884362
Qatar;AS-QAT;AS-Arabia;QAT;AS;0.056580954719605496
Russian Federation;AS-RUS;AS-RUS;RUS;AS;0.08400804848232418
Saudi Arabia;AS-SAU;AS-SAU;SAU;AS;0.058805060010790715
Singapore;AS-SGP;AS-SouthIslands;SGP;AS;0.04907307881344553
Syrian Arab Republic;AS-SYR;AS-West;SYR;AS;0.1832391257516379
Thailand;AS-THA;AS-SouthEast;THA;AS;0.07134323015492045
Tajikistan;AS-TJK;AS-NorthStans;TJK;AS;0.1859824606718893
Turkmenistan;AS-TKM;AS-SouthStans;TKM;AS;0.18990151055796278
Türkiye;AS-TUR;AS-West;TUR;AS;0.08325958159651904
Taiwan, Province of China;AS-TWN;AS-TWN;TWN;AS;0.05741192999477629
Uzbekistan;AS-UZB;AS-NorthStans;UZB;AS;0.18715817563771134
Viet Nam;AS-VNM;AS-SouthEast;VNM;AS;0.11212394516916054
Yemen;AS-YEM;AS-Arabia;YEM;AS;0.15869997843689276
Albania;EU-ALB;EU-SouthEast;ALB;EU;0.113276477478712
Armenia;EU-ARM;AS-West;ARM;EU;0.11258495809298114
Austria;EU-AUT;EU-Central;AUT;EU;0.054304393658079236
Azerbaijan;EU-AZE;AS-West;AZE;EU;0.08400804848232418
Belgium;EU-BEL;EU-Benelux;BEL;EU;0.057045687158460895
Bulgaria;EU-BGR;EU-SouthEast;BGR;EU;0.07690594704102587
Bosnia and Herzegovina;EU-BIH;EU-East;BIH;EU;0.14335303732259244
Belarus;EU-BLR;EU-East;BLR;EU;0.15241433168549146
Switzerland;EU-CHE;EU-Central;CHE;EU;0.04894555673815964
Czechia;EU-CZE;EU-East;CZE;EU;0.0587278071915806
Germany;EU-DEU;EU-DEU;DEU;EU;0.048441331520937256
Denmark;EU-DNK;EU-North;DNK;EU;0.048828783650062595
Spain;EU-ESP;EU-Iberia;ESP;EU;0.07502092905884362
Estonia;EU-EST;EU-East;EST;EU;0.058805060010790715
Finland;EU-FIN;EU-East;FIN;EU;0.05449902177947343
France;EU-FRA;EU-FRA;FRA;EU;0.05549057969072725
United Kingdom of Great Britain and Northern Ireland;EU-GBR;EU-GBR;GBR;EU;0.054174641577149775
Georgia;EU-GEO;AS-West;GEO;EU;0.10042964769917025
Greece;EU-GRC;EU-SouthEast;GRC;EU;0.18834829596182073
Croatia;EU-HRV;EU-Central;HRV;EU;0.09144050406527127
Hungary;EU-HUN;EU-Central;HUN;EU;0.0813431452688001
Ireland;EU-IRL;EU-IslandIreland;IRL;EU;0.06650026568295246
Iceland;EU-ISL;EU-IslandIreland;ISL;EU;0.06567343601191748
Italy;EU-ITA;EU-Central;ITA;EU;0.07466780235684815
Lithuania;EU-LTU;EU-East;LTU;EU;0.06625708048558923
Luxembourg;EU-LUX;EU-Benelux;LUX;EU;0.04868513809399343
Latvia;EU-LVA;EU-East;LVA;EU;0.06577071009086277
Moldova, Republic of;EU-MDA;EU-East;MDA;EU;0.14273039822927333
North Macedonia;EU-MKD;EU-SouthEast;MKD;EU;0.10140016855658374
Netherlands, Kingdom of the;EU-NLD;EU-Benelux;NLD;EU;0.04864311932589156
Norway;EU-NOR;EU-North;NOR;EU;0.048828783650062595
Poland;EU-POL;EU-East;POL;EU;0.06091450812885384
Portugal;EU-PRT;EU-Iberia;PRT;EU;0.08228657464497234
Romania;EU-ROU;EU-East;ROU;EU;0.08037938091956064
Serbia;EU-SRB;EU-East;SRB;EU;0.113276477478712
Slovakia;EU-SVK;EU-Central;SVK;EU;0.06074835375749679
Slovenia;EU-SVN;EU-Central;SVN;EU;0.0795532971916411
Sweden;EU-SWE;EU-North;SWE;EU;0.04889718629580982
Ukraine;EU-UKR;EU-East;UKR;EU;0.19015708160427816
Canada;NA-CAN;NA-CanadaUSA;CAN;NA;0.04862650725478152
Costa Rica;NA-CRI;NA-CentralAmerica;CRI;NA;0.08251111471071389
Cuba;NA-CUB;NA-CentralAmerica;CUB;NA;0.16913908025574534
Dominican Republic;NA-DOM;NA-CentralAmerica;DOM;NA;0.1105103999357885
Guatemala;NA-GTM;NA-CentralAmerica;GTM;NA;0.08325958159651904
Honduras;NA-HND;NA-CentralAmerica;HND;NA;0.12347276346972946
Haiti;NA-HTI;NA-CentralAmerica;HTI;NA;0.1495967857507664
Jamaica;NA-JAM;NA-CentralAmerica;JAM;NA;0.1386832441226991
Mexico;NA-MEX;NA-CentralAmerica;MEX;NA;0.06479796930140987
Nicaragua;NA-NIC;NA-CentralAmerica;NIC;NA;0.12347276346972946
Panama;NA-PAN;NA-CentralAmerica;PAN;NA;0.07502092905884362
El Salvador;NA-SLV;NA-CentralAmerica;SLV;NA;0.1371266463894013
Trinidad and Tobago;NA-TTO;SA-NorthEast;TTO;NA;0.07845185222108171
United States of America;NA-USA;NA-CanadaUSA;USA;NA;0.048651425361446586
Australia;OC-AUS;OC-AustraliaNewzealand;AUS;OC;0.0484379113886499
New Zealand;OC-NZL;OC-AustraliaNewzealand;NZL;OC;0.04853562945400307
Argentina;SA-ARG;SA-ArgentinaBolivia;ARG;SA;0.13557004865610353
Bolivia, Plurinational State of;SA-BOL;SA-ArgentinaBolivia;BOL;SA;0.0984886059843433
Brazil;SA-BRA;SA-NorthEast;BRA;SA;0.08871924550846352
Chile;SA-CHL;SA-ChilePeru;CHL;SA;0.056899190023934745
Colombia;SA-COL;SA-NorthWest;COL;SA;0.07376425040405547
Ecuador;SA-ECU;SA-NorthWest;ECU;SA;0.1386832441226991
Guyana;SA-GUY;SA-NorthEast;GUY;SA;0.11200950699096691
Peru;SA-PER;SA-ChilePeru;PER;SA;0.06484660634088252
Paraguay;SA-PRY;SA-NorthEast;PRY;SA;0.08550498225393448
Suriname;SA-SUR;SA-NorthEast;SUR;SA;0.10843584177859585
Uruguay;SA-URY;SA-NorthEast;URY;SA;0.07502092905884362
Venezuela, Bolivarian Republic of;SA-VEN;SA-NorthWest;VEN;SA;0.18292193903444848
