Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.11384558226783932
Burundi;AF-BDI;AF-Central;BDI;AF;0.21370661293683332
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.10266613172200538
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.10323598843036921
Botswana;AF-BWA;AF-South;BWA;AF;0.05740522129724421
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.21370661293683332
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.0847212997852067
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.10198230367196878
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.12236017611106341
Congo;AF-COG;AF-Central;COG;AF;0.1379051410537779
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.21650951543352126
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.11358800792988107
Egypt;AF-EGY;AF-EGY;EGY;AF;0.10437570184709687
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.21370661293683332
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.09277455286596267
Gabon;AF-GAB;AF-Central;GAB;AF;0.12236017611106341
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.11384558226783932
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.14884899009634506
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.11333043359192284
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.11384558226783932
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.2109037104401454
Kenya;AF-KEN;AF-Central;KEN;AF;0.10266613172200538
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.21650951543352126
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.07952171147076656
Lesotho;AF-LSO;AF-South;LSO;AF;0.21650951543352126
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.07257425199535507
Madagascar;AF-MDG;AF-Central;MDG;AF;0.1049455585554607
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.1125577105780481
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.13657906105950451
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.21650951543352126
Malawi;AF-MWI;AF-Central;MWI;AF;0.1125577105780481
Namibia;AF-NAM;AF-South;NAM;AF;0.07767374719794144
Niger;AF-NER;AF-WestSahara;NER;AF;0.1125577105780481
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.10266613172200538
Rwanda;AF-RWA;AF-Central;RWA;AF;0.10312201708869645
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.2109037104401454
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.08386322056322149
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.14884899009634506
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.16814698905491018
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.10380584513873305
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.2109037104401454
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.11333043359192284
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.10608527197218837
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.09277455286596267
Uganda;AF-UGA;AF-Central;UGA;AF;0.10266613172200538
South Africa;AF-ZAF;AF-South;ZAF;AF;0.0704413704200024
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.13724210105664122
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.1690461057975153
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.17102920440737324
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.05488371005771309
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.0842922601742141
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.10950441222237134
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.05311174219854812
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.1689284643545576
China;AS-CHN;AS-CHN;CHN;AS;0.055687465384818245
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.06808134701683428
India;AS-IND;AS-IND;IND;AS;0.06710991583406806
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.11384558226783932
Iraq;AS-IRQ;AS-West;IRQ;AS;0.12666426172197742
Israel;AS-ISR;AS-West;ISR;AS;0.05585931399017663
Jordan;AS-JOR;AS-West;JOR;AS;0.09475766315329087
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.055280184190118854
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.0713530385807385
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.10722498538891602
