Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.1614169227627226
Burundi;AF-BDI;AF-Central;BDI;AF;0.28648078644826863
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.12755766990069076
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.17697412723052214
Botswana;AF-BWA;AF-South;BWA;AF;0.0748362062947791
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.28648078644826863
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.11382851292766565
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.14298650969442944
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.15995572557689858
Congo;AF-COG;AF-Central;COG;AF;0.20131103065650435
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.28932876937908436
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.10402706857614587
Egypt;AF-EGY;AF-EGY;EGY;AF;0.14568216784970778
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.28648078644826863
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.20054858357120597
Gabon;AF-GAB;AF-Central;GAB;AF;0.17615475341500247
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.2515844361344095
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.2024547012844519
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.14452688578315992
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.1614169227627226
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.2836328035174529
Kenya;AF-KEN;AF-Central;KEN;AF;0.14375669773879468
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.2024547012844519
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.10503604662649076
Lesotho;AF-LSO;AF-South;LSO;AF;0.28932876937908436
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.0947090169815053
Madagascar;AF-MDG;AF-Central;MDG;AF;0.16287811994854662
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.20054858357120597
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.1997861364859076
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.28932876937908436
Malawi;AF-MWI;AF-Central;MWI;AF;0.24914566708551764
Namibia;AF-NAM;AF-South;NAM;AF;0.1271152313825334
Niger;AF-NER;AF-WestSahara;NER;AF;0.15995572557689858
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.15995572557689858
Rwanda;AF-RWA;AF-Central;RWA;AF;0.14427015643503818
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.2836328035174529
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.11288325644734959
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.2515844361344095
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.2506772140482217
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.1614169227627226
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.2836328035174529
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.160832443888393
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.18107099630812049
