Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.1313128593231917
Burundi;AF-BDI;AF-Central;BDI;AF;0.19688446608017554
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.19688446608017554
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.1622619574854848
Botswana;AF-BWA;AF-South;BWA;AF;0.0734262561840649
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.19688446608017554
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.11697156189087848
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.1448015225217795
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.16140461381769705
Congo;AF-COG;AF-Central;COG;AF;0.14631062109456242
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.1990638259765527
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.13514196712338605
Egypt;AF-EGY;AF-EGY;EGY;AF;0.1639766448210603
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.19688446608017554
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.13000934951320142
Gabon;AF-GAB;AF-Central;GAB;AF;0.13000934951320142
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.16311930115327256
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.1990638259765527
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.13487066355426877
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.12282708455772585
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.1947051061837984
Kenya;AF-KEN;AF-Central;KEN;AF;0.13000934951320142
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.17107091161079277
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.2012431858729299
Lesotho;AF-LSO;AF-South;LSO;AF;0.1990638259765527
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.09793962977650404
Madagascar;AF-MDG;AF-Central;MDG;AF;0.12402089458144713
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.1358081706526454
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.17633413553059762
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.1990638259765527
Malawi;AF-MWI;AF-Central;MWI;AF;0.16925342989382097
Namibia;AF-NAM;AF-South;NAM;AF;0.09351676402706476
Niger;AF-NER;AF-WestSahara;NER;AF;0.16925342989382097
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.13000934951320142
Rwanda;AF-RWA;AF-Central;RWA;AF;0.13053075343719753
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.1947051061837984
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.13000934951320142
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.16470150935655462
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.1982531040951004
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.1990638259765527
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.1947051061837984
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.13487066355426877
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.119207787492251
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.1358081706526454
Uganda;AF-UGA;AF-Central;UGA;AF;0.13000934951320142
South Africa;AF-ZAF;AF-South;ZAF;AF;0.08954388629475249
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.16140461381769705
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.17117269058694318
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.2012431858729299
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.0690918038827182
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.11641250549053536
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.1124336612796381
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.09621131548038739
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.1990638259765527
China;AS-CHN;AS-CHN;CHN;AS;0.06926189914575723
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.09517660684703659
India;AS-IND;AS-IND;IND;AS;0.09384873259105912
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.11005447218165809
Iraq;AS-IRQ;AS-West;IRQ;AS;0.16654867582442356
Israel;AS-ISR;AS-West;ISR;AS;0.07103243793480321
Jordan;AS-JOR;AS-West;JOR;AS;0.132616369133182
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.07032940435250884
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.09550857541103094
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.15174337595658086
Cambodia;AS-KHM;AS-SouthEast;KHM;AS;0.14872517881101505
Korea, Republic of;AS-KOR;AS-KoreaJapan;KOR;AS;0.06742377325858315
Kuwait;AS-KWT;AS-West;KWT;AS;0.06851662090887851
Lao People's Democratic Republic;AS-LAO;AS-SouthEast;LAO;AS;0.2012431858729299
Lebanon;AS-LBN;AS-West;LBN;AS;0.14963063795468481
Sri Lanka;AS-LKA;AS-SouthEast;LKA;AS;0.13000934951320142
Myanmar;AS-MMR;AS-SouthEast;MMR;AS;0.1362271813998552
Mongolia;AS-MNG;AS-MNG;MNG;AS;0.14721608023823216
Malaysia;AS-MYS;AS-SouthIslands;MYS;AS;0.07890029961544327
Nepal;AS-NPL;AS-SouthEast;NPL;AS;0.1990638259765527
Oman;AS-OMN;AS-Arabia;OMN;AS;0.08643332633920846
Pakistan;AS-PAK;AS-SouthStans;PAK;AS;0.16174755128481216
Philippines;AS-PHL;AS-SouthIslands;PHL;AS;0.08985089050897918
Qatar;AS-QAT;AS-Arabia;QAT;AS;0.06899594005374492
Russian Federation;AS-RUS;AS-RUS;RUS;AS;0.10025492111967818
Saudi Arabia;AS-SAU;AS-SAU;SAU;AS;0.07134536089428141
Singapore;AS-SGP;AS-SouthIslands;SGP;AS;0.06020881178317768
Syrian Arab Republic;AS-SYR;AS-West;SYR;AS;0.1990638259765527
Thailand;AS-THA;AS-SouthEast;THA;AS;0.08572822667806089
Tajikistan;AS-TJK;AS-NorthStans;TJK;AS;0.20211492983148072
Turkmenistan;AS-TKM;AS-SouthStans;TKM;AS;0.20647364962423503
Türkiye;AS-TUR;AS-West;TUR;AS;0.09467865400104504
Taiwan, Province of China;AS-TWN;AS-TWN;TWN;AS;0.06976324565806567
Uzbekistan;AS-UZB;AS-NorthStans;UZB;AS;0.203422545769307
Viet Nam;AS-VNM;AS-SouthEast;VNM;AS;0.132616369133182
Yemen;AS-YEM;AS-Arabia;YEM;AS;0.1728883933277646
Albania;EU-ALB;EU-SouthEast;ALB;EU;0.13391987894317228
Armenia;EU-ARM;AS-West;ARM;EU;0.13313777305717814
Austria;EU-AUT;EU-Central;AUT;EU;0.06617971009296969
Azerbaijan;EU-AZE;AS-West;AZE;EU;0.10025492111967818
Belgium;EU-BEL;EU-Benelux;BEL;EU;0.06926189914575723
Bulgaria;EU-BGR;EU-SouthEast;BGR;EU;0.09215342211567938
Bosnia and Herzegovina;EU-BIH;EU-East;BIH;EU;0.16826336315999907
Belarus;EU-BLR;EU-East;BLR;EU;0.17902252206831296
