Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.0899610233746255
Burundi;AF-BDI;AF-Central;BDI;AF;0.13964295801393878
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.11360252256913946
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.11431973146399112
Botswana;AF-BWA;AF-South;BWA;AF;0.054031986708382676
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.13964295801393878
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.14143264244749257
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.11274187189531744
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.13964295801393878
Congo;AF-COG;AF-Central;COG;AF;0.14035883178736028
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.14143264244749257
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.1410747055607818
Egypt;AF-EGY;AF-EGY;EGY;AF;0.14232748466426945
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.13964295801393878
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.13964295801393878
Gabon;AF-GAB;AF-Central;GAB;AF;0.08886410889658004
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.1018390893145179
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.14143264244749257
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.14071676867407107
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.14143264244749257
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.137853273580385
Kenya;AF-KEN;AF-Central;KEN;AF;0.10058230484673977
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.14143264244749257
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.14322232688104639
Lesotho;AF-LSO;AF-South;LSO;AF;0.14143264244749257
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.0740009587075838
Madagascar;AF-MDG;AF-Central;MDG;AF;0.14322232688104639
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.13964295801393878
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.10007959105962852
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.14143264244749257
Malawi;AF-MWI;AF-Central;MWI;AF;0.13964295801393878
Namibia;AF-NAM;AF-South;NAM;AF;0.07029651295428045
Niger;AF-NER;AF-WestSahara;NER;AF;0.13964295801393878
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.08886410889658004
Rwanda;AF-RWA;AF-Central;RWA;AF;0.11417628968502079
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.137853273580385
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.10058230484673977
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.14143264244749257
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.14076687983821057
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.14143264244749257
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.137853273580385
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.14071676867407107
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.09215485233071637
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.13964295801393878
Uganda;AF-UGA;AF-Central;UGA;AF;0.10058230484673977
South Africa;AF-ZAF;AF-South;ZAF;AF;0.0632686621522977
