node;reg_fac
EU-LUX;1.34867197981047
EU-LVA;1.34867197981047
EU-MDA;1.34867197981047
EU-MKD;1.34867197981047
EU-MLT;1.34867197981047
EU-MNE;1.34867197981047
EU-NLD;1.34867197981047
EU-NOR;1.34867197981047
EU-NOR1;1.34867197981047
EU-NOR2;1.34867197981047
EU-NOR3;1.34867197981047
EU-NOR4;1.34867197981047
EU-NOR5;1.34867197981047
EU-POL;1.34867197981047
EU-PRT;1.34867197981047
EU-ROU;1.34867197981047
EU-SRB;1.34867197981047
EU-SVK;1.34867197981047
EU-SVN;1.34867197981047
EU-SWE;1.34867197981047
EU-SWE1;1.34867197981047
EU-SWE2;1.34867197981047
EU-SWE3;1.34867197981047
EU-SWE4;1.34867197981047
EU-UKR;1.34867197981047
NA-BLZ;0.19446491273097016
NA-CAN;1.3374192380309164
NA-CAN-AB;1.3374192380309164
NA-CAN-AR;1.33741923803092
NA-CAN-BC;1.33741923803092
NA-CAN-MB;1.33741923803092
NA-CAN-NL;1.33741923803092
NA-CAN-NO;1.33741923803092
NA-CAN-ON;1.33741923803092
NA-CAN-QC;1.33741923803092
NA-CAN-SK;1.33741923803092
NA-CRI;0.19446491273097016
NA-CUB;0.19446491273097016
NA-DOM;0.19446491273097016
NA-GTM;0.19446491273097016
NA-HND;0.19446491273097016
NA-HTI;0.19446491273097016
NA-JAM;0.19446491273097016
NA-MEX;0.19446491273097016
NA-NIC;0.19446491273097016
NA-PAN;0.19446491273097016
NA-SLV;0.19446491273097016
NA-TTO;0.19446491273097016
NA-USA;1.33741923803092
NA-USA-AK;1.33741923803092
NA-USA-AZ;1.33741923803092
NA-USA-CA;1.33741923803092
NA-USA-ER;1.33741923803092
NA-USA-FR;1.33741923803092
NA-USA-GU;1.33741923803092
NA-USA-HA;1.33741923803092
NA-USA-ME;1.33741923803092
NA-USA-MW;1.33741923803092
NA-USA-NE;1.33741923803092
NA-USA-NW;1.33741923803092
NA-USA-NY;1.33741923803092
NA-USA-PR;1.33741923803092
NA-USA-RA;1.33741923803092
NA-USA-RE;1.33741923803092
NA-USA-RM;1.33741923803092
NA-USA-RW;1.33741923803092
NA-USA-SA;1.33741923803092
NA-USA-SC;1.33741923803092
NA-USA-SE;1.33741923803092
NA-USA-SN;1.33741923803092
NA-USA-SS;1.33741923803092
NA-USA-SV;1.33741923803092
NA-USA-SW;1.33741923803092
OC-AUS;0.8721606300502085
OC-AUS-NT;0.8721606300502085
OC-AUS-QL;0.8721606300502085
OC-AUS-SA;0.872160630050208
OC-AUS-SW;0.872160630050208
OC-AUS-TA;0.872160630050208
OC-AUS-VI;0.872160630050208
OC-AUS-WA;0.872160630050208
OC-FJI;0.872160630050208
OC-NZL;0.872160630050208
OC-PNG;0.872160630050208
SA-ARG;0.09238589698377085
SA-BOL;0.09238589698377085
SA-BRA;0.09238589698377085
SA-BRA-CN;0.09238589698377085
SA-BRA-CW;0.09238589698377085
SA-BRA-NE;0.09238589698377085
SA-BRA-NW;0.09238589698377085
SA-BRA-SE;0.09238589698377085
SA-BRA-SO;0.09238589698377085
SA-BRA-WE;0.09238589698377085
SA-CHL;0.09238589698377085
SA-COL;0.09238589698377085
SA-ECU;0.09238589698377085
SA-GUF;0.09238589698377085
SA-GUY;0.09238589698377085
SA-PER;0.09238589698377085
SA-PRY;0.09238589698377085
SA-SUR;0.09238589698377085
SA-URY;0.09238589698377085
SA-VEN;0.09238589698377085
