ISO3 code;Year;Technology;Electricity Installed Capacity (MW);capacity_added;rel_capacity_added;area_potential;log_expol;growth_rate;log_expol_cap_add;log_expol_decom;tech_potential
SVN;2036;Onshore wind energy;;;;7132.399136948791;5.673285360276629;0.03388086854469208;0.19389242420389063;;7596.005080850463
SVN;2037;Onshore wind energy;;;;7132.399136948791;5.874034135222336;0.03388086854469208;0.20074877494570753;;7631.667076535206
SVN;2038;Onshore wind energy;;;;7132.399136948791;6.081881375694321;0.03388086854469208;0.20784724047198466;;7667.329072219951
SVN;2039;Onshore wind energy;;;;7132.399136948791;6.297077721889463;0.03388086854469208;0.2151963461951416;;7702.991067904694
SVN;2040;Onshore wind energy;;;;7132.399136948791;6.519882637868372;0.03388086854469208;0.2228049159789096;;7738.653063589439
SVN;2041;Onshore wind energy;;;;7132.399136948791;6.75056472032892;0.03388086854469208;0.23068208246054756;;7774.315059274182
SVN;2042;Onshore wind energy;;;;7132.399136948791;6.989402018049076;0.03388086854469208;0.23883729772015627;;7809.977054958927
SVN;2043;Onshore wind energy;;;;7132.399136948791;7.236682362358901;0.03388086854469208;0.24728034430982504;;7845.63905064367
SVN;2044;Onshore wind energy;;;;7132.399136948791;7.492703709011272;0.03388086854469208;0.2560213466523704;7.364939515358278;7881.3010463284145
SVN;2045;Onshore wind energy;;;;7132.399136948791;7.75777449183387;0.03388086854469208;0.26507078282259844;7.625490281429659;7916.963042013158
SVN;2046;Onshore wind energy;;;;7132.399136948791;8.032213988555473;0.03388086854469208;0.2744394967216026;7.8952499994206065;7952.625037697902
SVN;2047;Onshore wind energy;;;;7132.399136948791;8.31635269921384;0.03388086854469208;0.28413871065836815;8.174543533049766;7988.287033382646
SVN;2048;Onshore wind energy;;;;7132.399136948791;8.610532737563286;0.03388086854469208;0.2941800383494453;8.463707161665045;8023.94902906739
SVN;2049;Onshore wind energy;;;;7132.399136948791;8.915108235913836;0.03388086854469208;0.30457549835055;8.763088978176034;8059.611024752134
SVN;2050;Onshore wind energy;;;;7132.399136948791;9.230445763847628;0.03388086854469208;0.3153375279337922;9.073049300626284;8095.273020436878
SVN;2051;Onshore wind energy;;;;7132.399136948791;9.556924761269379;0.03388086854469208;0.32647899742175035;9.39396109785557;8130.935016121622
SVN;2052;Onshore wind energy;;;;7132.399136948791;9.89493798626577;0.03388086854469208;0.3380132249963914;9.726210429717542;8166.597011806366
SVN;2053;Onshore wind energy;;;;7132.399136948791;10.244891978258734;0.03388086854469208;0.3499539919929635;10.070196902330766;8202.25900749111
SVN;2054;Onshore wind energy;;;;7132.399136948791;10.607207536954567;0.03388086854469208;0.3623155586958333;10.426334138855424;8237.921003175854
SVN;2055;Onshore wind energy;;;;7132.399136948791;10.982320217604983;0.03388086854469208;0.3751126806504157;10.79505026630411;8273.582998860598
SVN;2056;Onshore wind energy;;;;7132.399136948791;11.370680843111357;0.03388086854469208;0.3883606255063743;11.176788418907467;8309.24499454534
SVN;2057;Onshore wind energy;;;;7132.399136948791;11.772756033519052;0.03388086854469208;0.4020751904076949;11.572007258573343;8344.906990230085
SVN;2058;Onshore wind energy;;;;7132.399136948791;12.189028753465553;0.03388086854469208;0.4162727199465017;11.981181512993569;8380.56898591483
SVN;2059;Onshore wind energy;;;;7132.399136948791;12.619998878158603;0.03388086854469208;0.4309701246930491;12.404802531963462;8416.230981599574
SVN;2060;Onshore wind energy;;;;7132.399136948791;13.066183778483472;0.03388086854469208;0.44618490032486946;12.843378862504562;8451.892977284318
UKR;2000;Onshore wind energy;5.0;;;501354.4333178485;;;;;443698.6734862959
UKR;2001;Onshore wind energy;36.23;31.229999999999997;0.8619928236268286;501354.4333178485;;;;;446205.44565288513
UKR;2002;Onshore wind energy;46.23;10.0;0.21630975556997623;501354.4333178485;;;;;448712.2178194744
UKR;2003;Onshore wind energy;54.4;8.170000000000002;0.1501838235294118;501354.4333178485;;;;;451218.9899860636
UKR;2004;Onshore wind energy;71.4;17.000000000000007;0.23809523809523817;501354.4333178485;;;;;453725.76215265284
UKR;2005;Onshore wind energy;76.6;5.199999999999989;0.06788511749347244;501354.4333178485;;;;;456232.5343192421
UKR;2006;Onshore wind energy;76.6;0.0;0.0;501354.4333178485;;;;;458739.3064858314
UKR;2007;Onshore wind energy;82.0;5.400000000000006;0.06585365853658544;501354.4333178485;;;;;461246.0786524206
UKR;2008;Onshore wind energy;83.0;1.0;0.012048192771084338;501354.4333178485;;;;;463752.8508190098
UKR;2009;Onshore wind energy;86.0;3.0;0.03488372093023256;501354.4333178485;;;;;466259.6229855991
UKR;2010;Onshore wind energy;88.0;2.0;0.022727272727272728;501354.4333178485;;;;;468766.3951521883
UKR;2011;Onshore wind energy;146.0;58.0;0.3972602739726027;501354.4333178485;;;;;471273.1673187776
UKR;2012;Onshore wind energy;248.0;102.0;0.4112903225806452;501354.4333178485;;;;;473779.9394853668
UKR;2013;Onshore wind energy;362.0;114.0;0.3149171270718232;501354.4333178485;;;;;476286.7116519561
UKR;2014;Onshore wind energy;513.9;151.89999999999998;0.2955827982097684;501354.4333178485;;;;;478793.4838185453
UKR;2015;Onshore wind energy;513.9;0.0;0.0;501354.4333178485;;;;;481300.2559851345
UKR;2016;Onshore wind energy;526.0;12.100000000000023;0.023003802281368866;501354.4333178485;;;;;483807.0281517238
UKR;2017;Onshore wind energy;553.0;27.0;0.048824593128390596;501354.4333178485;;;;;486313.800318313
UKR;2018;Onshore wind energy;620.77;67.76999999999998;0.10917086843758556;501354.4333178485;;;;;488820.5724849023
UKR;2019;Onshore wind energy;1257.77;637.0;0.5064518950205522;501354.4333178485;;;;;491327.3446514915
UKR;2020;Onshore wind energy;1402.0;144.23000000000002;0.10287446504992868;501354.4333178485;;;;;493834.1168180808
UKR;2021;Onshore wind energy;1761.0;359.0;0.20386144236229414;501354.4333178485;;;;;496340.88898467
UKR;2022;Onshore wind energy;1761.0;0.0;0.0;501354.4333178485;;;;;498847.66115125926
UKR;2023;Onshore wind energy;1761.0;0.0;;501354.4333178485;2060.2282843831413;0.1779799168989281;;;501354.4333178485
UKR;2024;Onshore wind energy;;;;501354.4333178485;2471.7473474711205;0.1779799168989281;411.51906308797925;;503861.2054844377
UKR;2025;Onshore wind energy;;;;501354.4333178485;2965.061466001781;0.1779799168989281;493.3141185306604;;506367.977651027
UKR;2026;Onshore wind energy;;;;501354.4333178485;3556.2516015829765;0.1779799168989281;591.1901355811956;;508874.7498176162
UKR;2027;Onshore wind energy;;;;501354.4333178485;4264.482844198687;0.1779799168989281;708.2312426157109;;511381.52198420546
UKR;2028;Onshore wind energy;;;;501354.4333178485;5112.562074172946;0.1779799168989281;848.0792299742589;;513888.2941507947
UKR;2029;Onshore wind energy;;;;501354.4333178485;6127.581581786458;0.1779799168989281;1015.0195076135115;;516395.06631738396
UKR;2030;Onshore wind energy;;;;501354.4333178485;7341.655161055576;0.1779799168989281;1214.0735792691185;;518901.8384839732
UKR;2031;Onshore wind energy;;;;501354.4333178485;8792.750260487286;0.1779799168989281;1451.09509943171;;521408.61065056245
UKR;2032;Onshore wind energy;;;;501354.4333178485;10525.614717559123;0.1779799168989281;1732.864457071837;;523915.38281715167
UKR;2033;Onshore wind energy;;;;501354.4333178485;12592.788546770138;0.1779799168989281;2067.173829211015;;526422.1549837409
UKR;2034;Onshore wind energy;;;;501354.4333178485;15055.679080337659;0.1779799168989281;2462.890533567521;;528928.9271503302
UKR;2035;Onshore wind energy;;;;501354.4333178485;17985.66013686106;0.1779799168989281;2929.981056523402;;531435.6993169194
UKR;2036;Onshore wind energy;;;;501354.4333178485;21465.131325560644;0.1779799168989281;3479.471188699583;;533942.4714835086
UKR;2037;Onshore wind energy;;;;501354.4333178485;25588.440630775116;0.1779799168989281;4123.309305214472;;536449.2436500979
UKR;2038;Onshore wind energy;;;;501354.4333178485;30462.53103565084;0.1779799168989281;4874.090404875726;;538956.0158166871
UKR;2039;Onshore wind energy;;;;501354.4333178485;36207.12020046847;0.1779799168989281;5744.589164817626;;541462.7879832764
UKR;2040;Onshore wind energy;;;;501354.4333178485;42954.16331656773;0.1779799168989281;6747.043116099259;;543969.5601498656
UKR;2041;Onshore wind energy;;;;501354.4333178485;50846.28903760789;0.1779799168989281;7892.12572104016;;546476.3323164548
UKR;2042;Onshore wind energy;;;;501354.4333178485;60033.84810667801;0.1779799168989281;9187.559069070121;;548983.1044830441
UKR;2043;Onshore wind energy;;;;501354.4333178485;70670.19241818675;0.1779799168989281;10636.344311508743;;551489.8766496333
UKR;2044;Onshore wind energy;;;;501354.4333178485;82904.83531515463;0.1779799168989281;12234.642896967882;82493.31625206665;553996.6488162226
UKR;2045;Onshore wind energy;;;;501354.4333178485;96874.26499116671;0.1779799168989281;13969.429676012078;96380.95087263605;556503.4209828118
UKR;2046;Onshore wind energy;;;;501354.4333178485;112690.42554701242;0.1779799168989281;15816.160555845709;112099.23541143122;559010.1931494011
UKR;2047;Onshore wind energy;;;;501354.4333178485;130427.26634109199;0.1779799168989281;17736.840794079573;129719.03509847628;561516.9653159903
UKR;2048;Onshore wind energy;;;;501354.4333178485;150106.28079828137;0.1779799168989281;19679.014457189376;149258.20156830712;564023.7374825795
UKR;2049;Onshore wind energy;;;;501354.4333178485;171682.54928511922;0.1779799168989281;21576.268486837856;170667.52977750573;566530.5096491688
UKR;2050;Onshore wind energy;;;;501354.4333178485;195033.3382473186;0.1779799168989281;23350.78896219938;193819.2646680495;569037.281815758
UKR;2051;Onshore wind energy;;;;501354.4333178485;219951.6012110122;0.1779799168989281;24918.26296369359;218500.50611158047;571544.0539823472
UKR;2052;Onshore wind energy;;;;501354.4333178485;246146.57301590432;0.1779799168989281;26194.97180489212;244413.70855883247;574050.8261489365
UKR;2053;Onshore wind energy;;;;501354.4333178485;273252.9100876824;0.1779799168989281;27106.337071778107;271185.7362584714;576557.5983155258
UKR;2054;Onshore wind energy;;;;501354.4333178485;300848.5308004169;0.1779799168989281;27595.620712734468;298385.64026684937;579064.370482115
UKR;2055;Onshore wind energy;;;;501354.4333178485;328479.69137463614;0.1779799168989281;27631.160574219248;325549.71031811275;581571.1426487042
UKR;2056;Onshore wind energy;;;;501354.4333178485;355690.3155356049;0.1779799168989281;27210.624160968757;352210.8443469053;584077.9148152935
UKR;2057;Onshore wind energy;;;;501354.4333178485;382051.6434449368;0.1779799168989281;26361.327909331885;377928.3341397223;586584.6869818827
UKR;2058;Onshore wind energy;;;;501354.4333178485;407188.1922491493;0.1779799168989281;25136.548804212536;402314.10184427357;589091.459148472
UKR;2059;Onshore wind energy;;;;501354.4333178485;430796.85181547323;0.1779799168989281;23608.659566323913;425052.2626506556;591598.2313150612
UKR;2060;Onshore wind energy;;;;501354.4333178485;452657.397970745;0.1779799168989281;21860.54615527176;445910.35485464573;594105.0034816505
DNK;2000;Onshore wind energy;2340.065;;;32014.769887621504;;;;;28333.07135054503
DNK;2001;Onshore wind energy;2447.203;107.13799999999992;0.04377977634058144;32014.769887621504;;;;;28493.145199983137
DNK;2002;Onshore wind energy;2680.581;233.37800000000016;0.08706246891998419;32014.769887621504;;;;;28653.219049421245
DNK;2003;Onshore wind energy;2696.566;15.984999999999673;0.005927909793418619;32014.769887621504;;;;;28813.292898859352
DNK;2004;Onshore wind energy;2700.362;3.7960000000002765;0.001405737452978629;32014.769887621504;;;;;28973.36674829746
DNK;2005;Onshore wind energy;2704.486;4.123999999999796;0.0015248738577311165;32014.769887621504;;;;;29133.440597735567
DNK;2006;Onshore wind energy;2712.346;7.860000000000127;0.002897860376220485;32014.769887621504;;;;;29293.514447173675
DNK;2007;Onshore wind energy;2700.864;-11.481999999999971;-0.00425123219828913;32014.769887621504;;;;;29453.588296611782
DNK;2008;Onshore wind energy;2739.52;38.65599999999995;0.01411050110968343;32014.769887621504;;;;;29613.66214604989
DNK;2009;Onshore wind energy;2821.237;81.7170000000001;0.028964954025486017;32014.769887621504;;;;;29773.735995487998
DNK;2010;Onshore wind energy;2933.979;112.74199999999973;0.038426314571440266;32014.769887621504;;;;;29933.809844926105
DNK;2011;Onshore wind energy;3080.531;146.55200000000013;0.04757361636678876;32014.769887621504;;;;;30093.883694364213
DNK;2012;Onshore wind energy;3240.091;159.55999999999995;0.04924553044960773;32014.769887621504;;;;;30253.95754380232
DNK;2013;Onshore wind energy;3547.873;307.78200000000015;0.08675113229814037;32014.769887621504;;;;;30414.031393240428
DNK;2014;Onshore wind energy;3615.353;67.48000000000002;0.018664844069168355;32014.769887621504;;;;;30574.105242678535
DNK;2015;Onshore wind energy;3805.916;190.5630000000001;0.05007020648905548;32014.769887621504;;;;;30734.179092116643
DNK;2016;Onshore wind energy;3974.092;168.17599999999993;0.042318094296760096;32014.769887621504;;;;;30894.25294155475
DNK;2017;Onshore wind energy;4225.149;251.05700000000024;0.05941967963733355;32014.769887621504;;;;;31054.326790992858
DNK;2018;Onshore wind energy;4421.86;196.71099999999933;0.044486030765333896;32014.769887621504;;;;;31214.400640430966
DNK;2019;Onshore wind energy;4409.743;-12.11699999999928;-0.0027477791789678623;32014.769887621504;;;;;31374.474489869073
DNK;2020;Onshore wind energy;4557.637;147.89399999999932;0.032449710233614336;32014.769887621504;;;;;31534.54833930718
