ISO3 code;Year;Technology;Electricity Installed Capacity (MW);capacity_added;rel_capacity_added;area_potential;log_expol;growth_rate;log_expol_cap_add;log_expol_decom;tech_potential
AUT;2000;Onshore wind energy;50.0;;;27734.018066215565;;;;;24544.605988600775
AUT;2001;Onshore wind energy;67.0;17.0;0.2537313432835821;27734.018066215565;;;;;24683.276078931853
AUT;2002;Onshore wind energy;109.0;42.0;0.3853211009174312;27734.018066215565;;;;;24821.94616926293
AUT;2003;Onshore wind energy;322.0;213.0;0.6614906832298136;27734.018066215565;;;;;24960.616259594008
AUT;2004;Onshore wind energy;581.0;259.0;0.4457831325301205;27734.018066215565;;;;;25099.286349925085
AUT;2005;Onshore wind energy;825.219;244.21900000000005;0.2959444704981345;27734.018066215565;;;;;25237.956440256166
AUT;2006;Onshore wind energy;968.269;143.04999999999995;0.1477378703645371;27734.018066215565;;;;;25376.626530587244
AUT;2007;Onshore wind energy;991.159;22.889999999999986;0.023094175606537384;27734.018066215565;;;;;25515.29662091832
AUT;2008;Onshore wind energy;991.974;0.8150000000000546;0.0008215941143619233;27734.018066215565;;;;;25653.9667112494
AUT;2009;Onshore wind energy;1000.985;9.010999999999967;0.00900213289909436;27734.018066215565;;;;;25792.636801580476
AUT;2010;Onshore wind energy;1015.828;14.842999999999961;0.014611725607090927;27734.018066215565;;;;;25931.306891911554
AUT;2011;Onshore wind energy;1105.966;90.13799999999992;0.08150160131504941;27734.018066215565;;;;;26069.97698224263
AUT;2012;Onshore wind energy;1337.15;231.1840000000002;0.1728930935197997;27734.018066215565;;;;;26208.64707257371
AUT;2013;Onshore wind energy;1674.538;337.3879999999999;0.20148124437904658;27734.018066215565;;;;;26347.317162904787
AUT;2014;Onshore wind energy;2110.275;435.7370000000001;0.20648351518167066;27734.018066215565;;;;;26485.987253235864
AUT;2015;Onshore wind energy;2488.726;378.451;0.1520661575440607;27734.018066215565;;;;;26624.65734356694
AUT;2016;Onshore wind energy;2729.996;241.26999999999998;0.08837741886801298;27734.018066215565;;;;;26763.32743389802
AUT;2017;Onshore wind energy;2886.698;156.70199999999977;0.05428416827808097;27734.018066215565;;;;;26901.997524229097
AUT;2018;Onshore wind energy;3132.713;246.01500000000033;0.07853097299369598;27734.018066215565;;;;;27040.667614560178
AUT;2019;Onshore wind energy;3224.117;91.404;0.028350087791479028;27734.018066215565;;;;;27179.337704891255
AUT;2020;Onshore wind energy;3225.979;1.8619999999996253;0.000577189126153526;27734.018066215565;;;;;27318.007795222333
AUT;2021;Onshore wind energy;3407.811;181.83200000000033;0.053357419176122245;27734.018066215565;;;;;27456.67788555341
AUT;2022;Onshore wind energy;3579.236;171.42499999999973;0.047894299230338465;27734.018066215565;;;;;27595.347975884488
AUT;2023;Onshore wind energy;3977.236;398.0;;27734.018066215565;4308.59298055968;0.10296793755667706;;;27734.018066215565
